gene,pval
isogroup34962,-7.25422057
isogroup14117,-7.374388252
isogroup00871,-4.228282114
isogroup31269,-4.438643994
isogroup12263,-3.695797509
isogroup31809,-3.870979652
isogroup11544,-3.423091343
isogroup12945,-3.247277622
isogroup15587,-3.009715999
isogroup28756,-2.933542638
isogroup04340,-3.85708537
isogroup11731,-3.526783117
isogroup21779,-2.681705903
isogroup32336,-2.762780606
isogroup28140,-3.863306678
isogroup01017,-4.391451818
isogroup12819,-2.502193745
isogroup15991,-16.99401231
isogroup29030,-2.384403266
isogroup00875,-2.438163788
isogroup14720,-2.347501352
isogroup01753,-2.750420566
isogroup34945,-3.134115992
isogroup31931,-5.590522637
isogroup10330,-3.530004022
isogroup22818,-2.330656447
isogroup21280,-2.370530077
isogroup06251,-6.62048737
isogroup09662,-2.927514101
isogroup04575,-2.450980456
isogroup05398,-2.926907103
isogroup35563,-2.21617859
isogroup37236,-4.415225803
isogroup35366,-2.098154655
isogroup10194,-2.575048508
isogroup24646,-2.668006458
isogroup32227,-2.06867912
isogroup36648,-2.828864363
isogroup08282,-2.247935703
isogroup15473,-2.088130458
isogroup34555,-2.344409418
isogroup32904,-2.455093578
isogroup02850,-2.806892868
isogroup23418,-2.455231307
isogroup23364,-1.964881469
isogroup22189,-2.498368752
isogroup34809,-1.816165752
isogroup03418,-3.672886981
isogroup05522,-2.078962537
isogroup31473,-2.163318019
isogroup23338,-2.736044753
isogroup03278,-1.781357975
isogroup05840,-1.773152744
isogroup30673,-1.77079748
isogroup11209,-1.776724878
isogroup32524,-1.744040821
isogroup08233,-4.002105912
isogroup15193,-1.861928912
isogroup06691,-2.780974299
isogroup14167,-1.876909436
isogroup23305,-1.748432438
isogroup17638,-1.685875375
isogroup23289,-1.674887427
isogroup10740,-1.745653679
isogroup35362,-1.702952538
isogroup17639,-2.015979961
isogroup09754,-1.65394467
isogroup04582,-1.730957181
isogroup09316,-2.521882369
isogroup04426,-1.866266354
isogroup35225,-1.946525942
isogroup04132,-1.910277048
isogroup09004,-1.762255606
isogroup16488,-3.250417085
isogroup01666,-1.809199132
isogroup09439,-1.971821407
isogroup32646,-2.036485816
isogroup18254,-1.671017381
isogroup22853,-1.761036057
isogroup02939,-1.573562369
isogroup12231,-1.821356533
isogroup11634,-1.62384061
isogroup24907,-1.91111226
isogroup01866,-1.574139886
isogroup01033,-2.723929556
isogroup03011,-2.157578864
isogroup03009,-2.328503235
isogroup02957,-1.983721548
isogroup16094,-1.747944612
isogroup37816,-1.602142933
isogroup21351,-1.714456848
isogroup20944,-1.552313989
isogroup04999,-2.23692272
isogroup23676,-1.537063772
isogroup24899,-1.560894588
isogroup21946,-1.760470003
isogroup15650,-3.870796492
isogroup08940,-1.722771695
isogroup01792,-1.563783519
isogroup06021,-1.816169856
isogroup11195,-1.651230418
isogroup00476,-1.497349025
isogroup01045,-1.812609224
isogroup28716,-1.506951315
isogroup12371,-1.883855179
isogroup08897,-1.628859212
isogroup25543,-1.49602383
isogroup04691,-2.227811291
isogroup03035,-6.83070843
isogroup28265,-1.511029345
isogroup16784,-1.87890365
isogroup23445,-1.461381358
isogroup12172,-1.449728802
isogroup24243,-1.423288407
isogroup21444,-1.535367586
isogroup09523,-1.43855288
isogroup08264,-2.045843225
isogroup30257,-1.433018074
isogroup31075,-1.416451137
isogroup30926,-1.529073269
isogroup05616,-1.403798561
isogroup21121,-1.406664679
isogroup21688,-1.407963233
isogroup09859,-2.400556592
isogroup11807,-1.388404842
isogroup02973,-1.385638186
isogroup11487,-5.246012899
isogroup39619,-4.052594948
isogroup02842,-1.35887591
isogroup13508,-1.494858449
isogroup28227,-1.529519881
isogroup25316,-1.558995428
isogroup19858,-1.43655809
isogroup08704,-1.903462375
isogroup07499,-1.369201959
isogroup14897,-1.474378862
isogroup13059,-1.340111817
isogroup08514,-1.543537697
isogroup18105,-2.194258254
isogroup09851,-1.368461869
isogroup03460,-1.765764237
isogroup32326,-1.319332598
isogroup26180,-1.507480434
isogroup21181,-1.426200184
isogroup03597,-1.575348423
isogroup30020,-1.324699593
isogroup03085,-1.597144752
isogroup19364,-1.361913682
isogroup20295,-1.345323017
isogroup25621,-1.357202468
isogroup31589,-1.311082674
isogroup13085,-2.67084507
isogroup02762,-1.29091534
isogroup11139,-6.373219727
isogroup30826,-1.287931717
isogroup15035,-1.42666878
isogroup02512,-1.29365064
isogroup11463,-4.61708723
isogroup24533,-1.292584932
isogroup05341,-1.302353679
isogroup23612,-1.291319809
isogroup02500,-1.27037107
isogroup22891,-1.371901017
isogroup03312,-1.313455217
isogroup07773,-1.799780679
isogroup20396,-1.257665782
isogroup02972,-1.307139096
isogroup03803,-1.270467403
isogroup08392,-1.38029674
isogroup16373,-1.306821142
isogroup05916,-1.381793525
isogroup29907,-4.026649535
isogroup25331,-1.28474799
isogroup28480,-1.281303212
isogroup17005,-2.061977929
isogroup10976,-1.270604342
isogroup07836,-1.53717915
isogroup33029,-1.260849763
isogroup14980,-1.243329288
isogroup08076,-1.241124898
isogroup06999,-1.774575378
isogroup21697,-1.225532948
isogroup23529,-1.595114634
isogroup08256,-1.506346379
isogroup16513,-1.277541037
isogroup11407,-1.218125679
isogroup06939,-1.254958658
isogroup19987,-2.132359074
isogroup38403,-1.359340097
isogroup10946,-1.335233976
isogroup14145,-1.394659374
isogroup04047,-1.275545587
isogroup03699,-3.708290315
isogroup27819,-7.872106313
isogroup00637,-1.221356205
isogroup19446,-1.400792446
isogroup34890,-1.228713805
isogroup30313,-1.241841563
isogroup12254,-1.412925039
isogroup03688,-2.364179868
isogroup03846,-1.562640396
isogroup21632,-1.194615316
isogroup23614,-1.302680982
isogroup08110,-1.311428594
isogroup12576,-6.6912121
isogroup09636,-1.481326166
isogroup05536,-1.454632826
isogroup32858,-1.183305976
isogroup22220,-1.178734876
isogroup10485,-1.227427073
isogroup19537,-1.530421188
isogroup30792,-1.474220197
isogroup10816,-1.241127714
isogroup39884,-1.294210633
isogroup08172,-1.189721971
isogroup00883,-1.315752976
isogroup07143,-1.40295009
isogroup06794,-1.503734577
isogroup33684,-1.444595306
isogroup00924,-1.599256517
isogroup13169,-1.183869062
isogroup12775,-1.159175967
isogroup17969,-2.36950028
isogroup20319,-1.275360174
isogroup09356,-1.328676948
isogroup03103,-1.227515626
isogroup04364,-1.210157327
isogroup15069,-2.089052534
isogroup15495,-1.778142193
isogroup15031,-1.159860154
isogroup21655,-1.191933504
isogroup31565,-1.217025386
isogroup27779,-1.151680238
isogroup23025,-1.287386174
isogroup17153,-1.342511066
isogroup10620,-1.230737099
isogroup10709,-1.154728694
isogroup09266,-1.22110506
isogroup14225,-1.266628913
isogroup01061,-1.380990678
isogroup03776,-1.164464502
isogroup09610,-1.244499078
