isogroup09134	GO:0005576
isogroup16273	GO:0016020;GO:0005739;GO:0000784;GO:0005635;GO:0005730;GO:0005654;GO:0005634;GO:0043234;GO:0005667;GO:0003677;GO:0003910;GO:0019899;GO:0042802;GO:0051287;GO:0003950;GO:0044822;GO:0019901;GO:0047485;GO:0008134;GO:0008270;GO:1990966;GO:1904646;GO:0006974;GO:0032869;GO:0034599;GO:0071294;GO:0042769;GO:0051103;GO:0006281;GO:0006302;GO:0000724;GO:0070911;GO:0006273;GO:0030225;GO:0032042;GO:0043504;GO:0007005;GO:2001170;GO:1904357;GO:0000122;GO:0000715;GO:0000717;GO:0033683;GO:0006295;GO:0006296;GO:0006294;GO:0006293;GO:0010613;GO:0033148;GO:0051901;GO:1904762;GO:1901216;GO:0060391;GO:0045944;GO:2000679;GO:0006471;GO:0016540;GO:0036211;GO:0070212;GO:0016925;GO:1903827;GO:0044030;GO:1903376;GO:0010990;GO:1904044;GO:0010332;GO:0023019;GO:0006366;GO:0007179
isogroup38437	GO:0005789;GO:0016021;GO:0046923;GO:0006621;GO:0015031;GO:0016192
isogroup14351	GO:0005743;GO:0046872;GO:0015031
isogroup28998	GO:0030131;GO:0005905;GO:1990075;GO:0045202;GO:0008021;GO:0010171;GO:0072583;GO:0006886;GO:0010940;GO:0061357;GO:0097499;GO:0006898
isogroup15722	GO:0005578;GO:0030247;GO:0005044;GO:0006955
isogroup05449	GO:0005737;GO:0003872;GO:0005524;GO:0046872;GO:0008022;GO:0006002
isogroup35951	GO:0016579
isogroup19863	
isogroup15443	GO:0005783;GO:0005789;GO:0071782;GO:0016021;GO:0016020;GO:0005635;GO:0019900;GO:0003950;GO:0043539;GO:0006987;GO:0030968;GO:0060548;GO:0071902;GO:0006471;GO:0070213
isogroup38715	GO:0005840;GO:0019843;GO:0003735;GO:0006412
isogroup02441	GO:0071819;GO:0005643;GO:0000124;GO:0003682;GO:0030374;GO:0003713;GO:0016578;GO:0061179;GO:0016973;GO:0045893;GO:0015031;GO:0006357;GO:0006351
isogroup06799	GO:0030054;GO:0030659;GO:0016021;GO:0005886;GO:0030141;GO:0031201;GO:0008021;GO:0005096;GO:0017137;GO:0017075;GO:0006887;GO:0045921;GO:0015031;GO:0030193;GO:0010468;GO:0050708
isogroup35598	GO:0004519;GO:0046872;GO:0003964;GO:0006310
isogroup08153	GO:0005794;GO:0005525;GO:0015031;GO:0007264;GO:0016192
isogroup05835	GO:0005576;GO:0004867;GO:0001558
isogroup33460	GO:0005794;GO:0001889;GO:0060041;GO:0016192
isogroup05082	GO:0005576;GO:0001872;GO:0004553;GO:0005975;GO:0045087
isogroup03395	GO:0042995;GO:0005737
isogroup13448	GO:0016787
isogroup07867	GO:0005634;GO:0016605;GO:0000166;GO:0061630;GO:0004842;GO:0008270;GO:0051301;GO:0000278;GO:0007093;GO:0007067;GO:0019941;GO:0032436;GO:0031398;GO:0031648;GO:0000209;GO:0006511
isogroup18234	GO:0004222;GO:0008270
isogroup33910	GO:0005759;GO:0004521;GO:0003727;GO:0008270;GO:0090502
isogroup08659	GO:0005741;GO:0005524;GO:0046872;GO:0007275;GO:0006457;GO:0009408
isogroup32600	GO:0005622;GO:0051082;GO:0006606;GO:0042273
isogroup25432	GO:0005737;GO:0005829;GO:0005886;GO:0004177;GO:0046872;GO:0008235;GO:0044822;GO:0031365;GO:0018206;GO:0016485;GO:0022400
isogroup23478	GO:0016363;GO:0016607;GO:0003755;GO:0006457
isogroup30899	GO:0031901;GO:0030139;GO:0017124;GO:0006886;GO:0007165
isogroup15171	GO:0005829;GO:0070062;GO:0019855;GO:0044325;GO:0008969;GO:0004721;GO:2000984;GO:0051350;GO:0050860;GO:0035971;GO:2000147;GO:0035774;GO:0006470;GO:2000249
isogroup14044	GO:0005576;GO:0030246;GO:0046872;GO:0016337
isogroup13420	GO:0016020;GO:0005739;GO:0005654;GO:0005782;GO:0005777;GO:0004165;GO:0000062;GO:0016863;GO:0006635
isogroup37991	GO:0045177;GO:0070062;GO:0016021;GO:0005622;GO:0005886;GO:0005509;GO:0001658;GO:0021987;GO:0072137;GO:0048565;GO:0008543;GO:0003007;GO:0007157;GO:0035329;GO:0007156;GO:0060122;GO:0022008;GO:0007219;GO:0043931;GO:0007009;GO:0072307
isogroup32927	GO:0005814;GO:0005737;GO:0005634;GO:0046872;GO:0004842;GO:0016567;GO:0042787
isogroup30273	GO:0005581;GO:0005576;GO:0050807
isogroup29961	GO:0005737
isogroup00432	GO:0008408;GO:0003677;GO:0003887;GO:0004519;GO:0000166;GO:0006260;GO:0016539;GO:0006314
isogroup21167	GO:0005737;GO:0005654;GO:0005634;GO:0005886;GO:0005524;GO:0016887;GO:0004386;GO:0000166;GO:0006974;GO:0006338;GO:0006281
isogroup15705	GO:0005737;GO:0005851;GO:0005634;GO:0005085;GO:0003743;GO:0031369;GO:0007568;GO:0014002;GO:0048708;GO:0035690;GO:0021766;GO:0042552;GO:0014003;GO:0001541;GO:0043065;GO:0045727;GO:0045948;GO:0034976;GO:0009749;GO:0009408;GO:0010226;GO:0043434;GO:0006413
isogroup20580	GO:0000781;GO:0070522;GO:0000784;GO:0000109;GO:0000110;GO:0005634;GO:0005669;GO:0003684;GO:0004520;GO:0008022;GO:0047485;GO:0003697;GO:0000014;GO:0043566;GO:0001094;GO:0034644;GO:0006281;GO:0000724;GO:0032205;GO:0006289;GO:1901255;GO:0033683;GO:0006295;GO:0006296;GO:0000712;GO:0009411;GO:0000723;GO:0009650
isogroup04057	GO:0005671;GO:0030424;GO:0005913;GO:0005737;GO:0030425;GO:0000123;GO:0016020;GO:0005739;GO:0071339;GO:0070688;GO:0043025;GO:0005654;GO:0005634;GO:0070461;GO:0048188;GO:0098641;GO:0003682;GO:0046972;GO:0043995;GO:0043996;GO:0042802;GO:0003713;GO:0001205;GO:0007049;GO:0071407;GO:0043984;GO:0043981;GO:0043982;GO:0000122;GO:0010628;GO:0050821;GO:0043254;GO:0006355;GO:0019046
isogroup23319	GO:0030424;GO:0030054;GO:0016533;GO:0005737;GO:0005856;GO:0005829;GO:0030425;GO:0030175;GO:0030426;GO:0030027;GO:0016020;GO:0031594;GO:0043025;GO:0005634;GO:0043204;GO:0005886;GO:0014069;GO:0045211;GO:0030549;GO:0005524;GO:0004693;GO:0005176;GO:0043125;GO:0016301;GO:0002039;GO:0004672;GO:0004674;GO:0050321;GO:0006915;GO:0008306;GO:0007409;GO:0048148;GO:0007596;GO:0070509;GO:0007049;GO:0051301;GO:0016477;GO:0007160;GO:0021954;GO:0021695;GO:0021697;GO:0021549;GO:0021987;GO:0022038;GO:0030866;GO:0048813;GO:0060079;GO:0030900;GO:0021766;GO:0006886;GO:0021819;GO:0008045;GO:0030517;GO:0045786;GO:1901215;GO:0046826;GO:0031397;GO:0045861;GO:0031914;GO:0045892;GO:0051402;GO:0030182;GO:0001764;GO:0031175;GO:0006913;GO:0048709;GO:0018105;GO:0018107;GO:0016310;GO:0045956;GO:0043525;GO:0032092;GO:0045860;GO:0090314;GO:0046777;GO:0035418;GO:0006468;GO:0032801;GO:0043113;GO:0045055;GO:0030334;GO:0061001;GO:0060078;GO:0048167;GO:0042220;GO:0048511;GO:0014044;GO:0019233;GO:0033136;GO:0007519;GO:0007416;GO:0001963;GO:0035249;GO:0048488;GO:0048489;GO:0021537;GO:0008542
isogroup14264	GO:0005788;GO:0005789;GO:0070062;GO:0030176;GO:0005779;GO:0005739;GO:0005778;GO:0005524;GO:0102391;GO:0019899;GO:0015245;GO:0004467;GO:0050197;GO:0070251;GO:0005102;GO:0031957;GO:0006699;GO:0001561;GO:0006635;GO:0044539;GO:0001676;GO:0097089;GO:0042760
isogroup09987	GO:0005576;GO:0016020
isogroup38935	GO:0005759;GO:0005739;GO:0003677;GO:0003690;GO:0006355;GO:0006393
isogroup29389	GO:0005737;GO:0005829;GO:0016020;GO:0005643;GO:0005654;GO:0042826;GO:0008139;GO:0044822;GO:0008565;GO:0006259;GO:0075733;GO:0019054;GO:0006607;GO:0000018
isogroup25366	GO:0031390;GO:0005663;GO:0005634;GO:0005524;GO:0003689;GO:0019899;GO:0043142;GO:0006261;GO:1900264
isogroup21777	GO:0005623;GO:0008199;GO:0004322;GO:0006879;GO:0006826
isogroup03471	GO:0005747;GO:0051539;GO:0046872;GO:0008137;GO:0048038
isogroup02928	GO:0016021;GO:0016020;GO:0000287;GO:0030976;GO:0016740
isogroup28443	GO:0031514;GO:0008017;GO:0060285
isogroup35569	GO:0045735
isogroup31902	GO:0005737;GO:0005622;GO:0005524;GO:0046872;GO:0004550;GO:0006241;GO:0006183;GO:0009142;GO:0006163;GO:0006220;GO:0006228
isogroup06849	GO:0005814;GO:0005929;GO:0000922;GO:0016595;GO:0016594;GO:0016596
isogroup09432	GO:0005737;GO:0005758;GO:0005739;GO:0050660;GO:0016971;GO:0015035;GO:0001889
isogroup07307	GO:0070062;GO:0004411;GO:0042802;GO:0046872;GO:0006520;GO:0006559;GO:0006572
isogroup32640	GO:0005634;GO:0030274;GO:0042803;GO:0000989;GO:0007275;GO:0045944;GO:0045893
isogroup15386	GO:0070062;GO:0005794;GO:0000139;GO:0016021;GO:0016020;GO:0005886;GO:0005578;GO:0017134;GO:0005102;GO:0060349;GO:0050900;GO:0010955;GO:0030512;GO:0032330
isogroup14880	GO:0005739;GO:0006364
isogroup07667	GO:0031390;GO:0005663;GO:0005634;GO:0005524;GO:0003689;GO:0019899;GO:0043142;GO:0006261;GO:1900264
isogroup14190	GO:0005794;GO:0005634;GO:0048471;GO:0046872;GO:0044822;GO:0043565;GO:0030154;GO:0007275;GO:0007283
isogroup16609	GO:0005737;GO:0005829;GO:0005783;GO:0005654;GO:0048471;GO:0003677;GO:0006334
isogroup34551	GO:0005783;GO:0005794;GO:0008289;GO:0006869
isogroup20480	GO:0005737;GO:0005856;GO:0031514
isogroup08426	GO:0070062;GO:0005887;GO:0015293;GO:0006814
isogroup06782	GO:0030014;GO:0030015;GO:0000932;GO:0005634;GO:0031047;GO:0033147;GO:0017148;GO:0000288;GO:2000036;GO:0006355;GO:0006351;GO:0001829
isogroup01436	GO:0005885;GO:0042995;GO:0005737;GO:0005524;GO:0034314
isogroup12432	GO:0016021;GO:0005765;GO:0005739;GO:1901029;GO:0008284
isogroup03735	
isogroup12266	GO:0008340;GO:0009438
isogroup13672	GO:0016787;GO:0046872;GO:0009611
isogroup10925	GO:0005634;GO:0046872;GO:0003950;GO:0044822
isogroup15208	GO:0001740;GO:0005524;GO:0051276;GO:0060821
isogroup17791	GO:0071013;GO:0005846;GO:0071011;GO:0000339;GO:0006370;GO:0045292;GO:0051028;GO:0045071;GO:0022008;GO:0031053;GO:0030422
isogroup01756	GO:0005694;GO:0008024;GO:0016020;GO:0016605;GO:0097322;GO:0005524;GO:0003682;GO:0030332;GO:0004693;GO:0008353;GO:0000979;GO:0008134;GO:0044212;GO:0071345;GO:0071157;GO:1900364;GO:0070816;GO:2001168;GO:0033129;GO:1903839;GO:0045944;GO:0006282;GO:0051147;GO:0031297;GO:0006368
isogroup18987	GO:0016021;GO:0005765;GO:0015019;GO:0016746;GO:0006027;GO:0007041;GO:0051259
isogroup16617	GO:0015934;GO:0003723;GO:0003735;GO:0006412
isogroup10864	
isogroup28409	GO:0005737;GO:0005829;GO:0004056;GO:0006526;GO:0042450;GO:0051262
isogroup15839	GO:0005788;GO:0007155
isogroup12470	GO:0071339;GO:0005669;GO:0005524;GO:0003677;GO:0004402;GO:0004674;GO:0007049;GO:0006352;GO:0045944
isogroup08743	GO:0070062;GO:0005887;GO:0005765;GO:0005886;GO:0007155
isogroup00709	GO:0005737;GO:0005525;GO:0003924;GO:0003746
