"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
114 0.499195958786711 5 20 "GO:0000118" "histone deacetylase complex" 0.896790356471063
-52 0.692583425943698 4 33 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.92912797413419
12 0.876874920351424 2 92 "GO:0000139" "Golgi membrane" 0.976045298248311
49 0.678106745321854 3 41 "GO:0000151" "ubiquitin ligase complex" 0.920435358605676
134 0.661802633728311 2 6 "GO:0000159" "protein phosphatase type 2A complex" 0.920435358605676
157 0.467740877955682 2 12 "GO:0000177;GO:0000178;GO:1905354;GO:0000176" "exosome (RNase complex)" 0.879070795755905
-40 0.838485264293009 4 15 "GO:0000228" "nuclear chromosome" 0.956114957618977
-522 0.119305983693429 4 5 "GO:0000242" "pericentriolar material" 0.656182910313859
-1104 0.000987342849239924 2 5 "GO:0000275" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.0246702080196927
99 0.746834320728568 6 6 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.942418509866718
-451 0.179043902377276 2 5 "GO:0000407" "phagophore assembly site" 0.734342138613162
94 0.653526487512227 3 13 "GO:0000775" "chromosome, centromeric region" 0.920435358605676
116 0.406271636118878 4 29 "GO:0000776" "kinetochore" 0.854501514641501
94 0.583972119421468 2 19 "GO:0000777" "condensed chromosome kinetochore" 0.920435358605676
141 0.296440925368318 3 31 "GO:0000781" "chromosome, telomeric region" 0.797666242740119
273 0.104509996890831 5 20 "GO:0000784" "nuclear chromosome, telomeric region" 0.592223315714709
-42 0.650447881951586 2 68 "GO:0000785" "chromatin" 0.920435358605676
-604 0.0331180661115494 2 7 "GO:0000786" "nucleosome" 0.3739115121216
-4 0.977651400858771 2 36 "GO:0000790" "nuclear chromatin" 0.993591369351034
-219 0.258996554378026 2 15 "GO:0000792" "heterochromatin" 0.797666242740119
-41 0.830792061499156 2 15 "GO:0000793" "condensed chromosome" 0.956114957618977
-78 0.7547889443339 5 9 "GO:0000794" "condensed nuclear chromosome" 0.942418509866718
202 0.509893318142383 2 6 "GO:0000812" "Swr1 complex" 0.899528778232317
26 0.833727251647451 2 38 "GO:0000922" "spindle pole" 0.956114957618977
200 0.192843041185328 4 24 "GO:0000932" "P-body" 0.735952014319517
-26 0.922970627758868 2 8 "GO:0000974" "Prp19 complex" 0.989086002240162
356 0.179407011300308 3 8 "GO:0001669" "acrosomal vesicle" 0.734342138613162
-97 0.750557354456712 5 6 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.942418509866718
84 0.634108992018625 2 18 "GO:0001726" "ruffle" 0.920435358605676
-80 0.794822047658826 2 6 "GO:0001917" "photoreceptor inner segment" 0.956099174220366
-395 0.136694782033927 4 8 "GO:0002102" "podosome" 0.669717229103211
39 0.627268958368671 1 90 "GO:0005576" "extracellular region" 0.920435358605676
-394 0.137882958933014 2 8 "GO:0005581" "collagen trimer" 0.669717229103211
-203 0.280481443864989 4 16 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.797666242740119
-7 0.928684170642458 2 102 "GO:0005615" "extracellular space" 0.989172848332297
29 0.762422097436539 2 63 "GO:0005622" "intracellular" 0.942418509866718
-394 0.0690630399064543 1 12 "GO:0005623" "cell" 0.519023838090135
156 0.169658806191769 2 44 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.728981815446303
-175 0.567167413281652 3 6 "GO:0005637" "nuclear inner membrane" 0.920435358605676
-90 0.575233316906766 4 22 "GO:0005643" "nuclear pore" 0.920435358605676
95 0.410569644182638 2 43 "GO:0005667" "transcription factor complex" 0.854501514641501
55 0.816167548952221 5 10 "GO:0005669" "transcription factor TFIID complex" 0.956114957618977
4 0.986128593289909 4 12 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 0.994827948415289
-81 0.33368201650853 4 82 "GO:0005681" "spliceosomal complex" 0.808394221839259
-316 0.26437315902159 2 7 "GO:0005682" "U5 snRNP" 0.797666242740119
-130 0.48884577983399 5 16 "GO:0005684" "U2-type spliceosomal complex" 0.891845471502011
-532 0.0335114084964595 2 9 "GO:0005685" "U1 snRNP" 0.3739115121216
-550 0.0277654054169892 2 9 "GO:0005686" "U2 snRNP" 0.358077987101861
-687 0.00959400873307176 2 8 "GO:0005687" "U4 snRNP" 0.204440285444821
-251 0.453521145036011 2 5 "GO:0005689" "U12-type spliceosomal complex" 0.870657269986586
155 0.115113330158319 4 59 "GO:0005694" "chromosome" 0.642572917600169
-251 0.376206976515742 3 7 "GO:0005720" "nuclear heterochromatin" 0.828069817921104
12 0.823328906470157 2 224 "GO:0005730" "nucleolus" 0.956114957618977
