"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
415 0.571183928427826 4 5 "GO:0000109" "nucleotide-excision repair complex" 0.841383611588479
304 0.65003770989035 5 6 "GO:0000123" "histone acetyltransferase complex" 0.888026681431008
1224 0.0950835456443239 3 5 "GO:0000136;GO:0031501" "mannosyltransferase complex" 0.372693540516591
4 0.968434105345597 4 352 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.982058240736585
367 0.501844091099487 2 9 "GO:0000148" "1,3-beta-D-glucan synthase complex" 0.823550895015404
15 0.937110174624648 3 75 "GO:0000151" "ubiquitin ligase complex" 0.970262657217501
37 0.926964807630356 4 17 "GO:0000152" "nuclear ubiquitin ligase complex" 0.969085146376607
290 0.69293607052907 2 5 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.891662571400084
-618 0.399774389482919 2 5 "GO:0000159" "protein phosphatase type 2A complex" 0.750004089670946
348 0.548209209172709 3 8 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.833109009468767
97 0.750657306473147 4 29 "GO:0000228" "nuclear chromosome" 0.919331068889269
-366 0.15938424276608 2 40 "GO:0000242" "pericentriolar material" 0.518293944994882
-128 0.761804708571163 3 15 "GO:0000324;GO:0000322" "storage vacuole" 0.926405171918949
330 0.29710100733221 2 27 "GO:0000325" "plant-type vacuole" 0.662067726999189
294 0.283526181935581 2 36 "GO:0000329" "fungal-type vacuole membrane" 0.649496744779438
-444 0.369490956120773 3 11 "GO:0000331" "contractile vacuole" 0.724136293468836
-32 0.956014906028457 2 8 "GO:0000407" "phagophore assembly site" 0.97898823686955
-908 0.21546685135061 5 5 "GO:0000421" "autophagosome membrane" 0.600545747012369
188 0.511057316271317 4 33 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.824929386743451
-656 0.0345641494125704 2 28 "GO:0000775" "chromosome, centromeric region" 0.220028034884547
-589 0.067318961154376 5 26 "GO:0000777;GO:0000776" "kinetochore" 0.321228521160555
-1240 0.0639044827843966 2 6 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.316439795235018
-320 0.243334185320481 5 36 "GO:0000781" "chromosome, telomeric region" 0.613788013217638
-192 0.619280564501979 5 18 "GO:0000784" "nuclear chromosome, telomeric region" 0.871359512231951
-468 0.0183080219708533 4 69 "GO:0000785" "chromatin" 0.143799431722607
-1288 0.00332827025133892 4 14 "GO:0000786;GO:0044815" "DNA packaging complex" 0.0471326013012189
-392 0.206707719452579 2 28 "GO:0000790" "nuclear chromatin" 0.589251226231702
-241 0.677184924408594 2 8 "GO:0000792" "heterochromatin" 0.888026681431008
233 0.546873001848345 5 18 "GO:0000793" "condensed chromosome" 0.833109009468767
619 0.173507447084931 2 13 "GO:0000794" "condensed nuclear chromosome" 0.54568775133324
-189 0.483818898262746 2 37 "GO:0000922" "spindle pole" 0.823550895015404
23 0.936048579207834 2 34 "GO:0000932" "P-body" 0.970262657217501
