name	term	lev	seq	value
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup13952	0
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup15376	0.474343236
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup20879	0.325414159
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup08616	0.414264157
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup29939	0.006504897
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup11780	0
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup05569	0.145152754
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup01097	0.059314092
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup13259	0.209697392
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup21808	0.534656931
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup17703	-0.000623587
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup33922	0.051356993
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup09839	0.346937099
"extrinsic component of plasma membrane"	GO:0031234;GO:0019897	2	isogroup11728	-0.125074768
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup14910	-0.863934045
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup16039	0.007175911
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup09374	-1.572200891
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup05726	-0.224135352
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup06936	-3.169496992
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup19819	-1.385367544
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup34552	0.314221336
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup13951	0.162088254
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup02790	-0.021100323
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup17028	0.231302524
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup08616	0.414264157
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup24279	-0.149484563
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup07030	0.140800332
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup03438	-1.688286552
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup11278	0.234940127
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup03618	-1.039963322
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup15092	0.259519187
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup10862	-0.267312355
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup03613	-0.021606657
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup09711	-0.544036846
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup06248	-2.047977538
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup38127	0.276832592
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup06379	-0.172665929
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup07591	-0.655364677
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup19334	0.626847661
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup31183	-1.674911004
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup09180	-0.051626846
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup14420	-0.464459912
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup31890	0
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup16716	0.312853305
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup01978	-0.28993067
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup08367	0.078079087
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup18735	0.705499965
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup13259	0.209697392
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup16105	0.633559184
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup06312	-1.440562117
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup32593	0.690213952
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup32088	-0.477503684
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup23752	-0.292507692
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup17703	-0.000623587
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup19277	0
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup25184	-0.438465578
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup09100	0.29892399
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup06185	0.1647039
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup03910	-0.219545754
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup12413	-1.019319797
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup27662	0.612048575
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup03996	-0.947593324
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup36752	0
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup07434	0.34455816
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup06030	0.498837794
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup09700	-0.198632132
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup05348	0.070799375
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup11928	-0.150638845
"cell-substrate junction"	GO:0005925;GO:0005924;GO:0030055	2	isogroup08350	-0.150843945
